id,message_content,spam_status,language,timestamp
1,"Agriculture success story : இந்த காலத்திலும் மூன்று போக விவசாயம்...  #local18

https://tamil.news18.com/videos/tamil-nadu/agriculture-success-story-three-way-agriculture-in-this-era-too-local18-1717377.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:31"
2,"TVK Vijay  | பனையூரில் நடிகர் விஜயை சந்தித்த ஜப்பானியர்கள் | N18S

https://tamil.news18.com/videos/tamil-nadu/tvk-vijay-japanese-people-met-actor-vijay-in-panayur-n18s-1717375.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:31"
3,"Sollathigaram | ஒரு லட்சம் கோடி இழப்பை எப்படி சரி செய்ய போறாங்க? | N18S

https://tamil.news18.com/videos/tamil-nadu/sollathigaram-how-are-they-going-to-fix-the-loss-of-one-lakh-crores-n18s-1717373.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:31"
4,"Sollathigaram | "எல்லாருமே வரி கட்டி கொண்டுதான் இருக்கோம்" -பாலச்சந்திரன் | N18S

https://tamil.news18.com/videos/tamil-nadu/sollathigaram-we-are-all-paying-taxes-balachandran-n18s-1717369.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:32"
5,"Sollathigaram | இளைஞர்கள் நலனுக்கான ஒரு அம்சம் இது -பேரா ஆசிர்வாதம் ஆச்சாரி | N18S

https://tamil.news18.com/videos/tamil-nadu/sollathigaram-this-is-a-feature-for-the-welfare-of-the-youth-bera-ashirvadham-acharya-n18s-1717371.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:32"
6,"Gold Bonds | மத்திய அரசின்  கஜானாவை காலி செய்த தங்க கடன் பத்திர திட்டம் | Union Budget 2025 | N18S

https://tamil.news18.com/videos/tamil-nadu/gold-bonds-the-gold-bond-scheme-that-emptied-the-central-government-s-treasury-union-budget-2025-n18s-1717349.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:32"
7,"Thulam Rasi | துலாம் ராசிக்கு இனி நல்ல காலகட்டம் வரப்போகுது | Jothidar Shelvi | N18V

https://tamil.news18.com/videos/tamil-nadu/thulam-rasi-good-times-are-coming-for-libra-jothidar-shelvi-n18v-1717320.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:32"
8,"TVK Vijay | விஜயை நேரில் பார்த்ததும் ஆச்சரியத்தில் உறைந்து போன ஜப்பான் பெண் | Japan Vijay Fan

https://tamil.news18.com/videos/tamil-nadu/tvk-vijay-japanese-woman-freezes-in-surprise-after-seeing-vijay-in-person-japan-vijay-fan-1717314.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram","Not Spam",Unknown,"2025-02-02 09:47:33"
9,"Crime Time | பிரியாணி கடைக்கு உரிமம் - மோசடி!- 239 பேரிடம் ரூ. 25 கோடி அபேஸ் - புகார்..

https://tamil.news18.com/videos/tamil-nadu/crime-time-license-for-biryani-shop-fraud-239-people-were-cheated-of-rs-25-crore-complaint-1717250.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",Spam,Unknown,"2025-02-02 09:47:33"
10,"Crime Time | போலி நாக மாணிக்க கற்கள் விற்பனை.. - பல கோடி ரூபாய்க்கு டீல்..

https://tamil.news18.com/videos/tamil-nadu/crime-time-fake-naga-gemstones-for-sale-deal-for-crores-of-rupees-1717248.html??utm_source=telegram&utm_medium=social&utm_campaign=telegram",Spam,Unknown,"2025-02-02 09:47:33"
11,"🎬```Limonov: The Ballad```

🎞**Movie Info**
**Limonov: The Ballad** is a 2024 biographical film directed by Kirill Serebrennikov. It is based on Emmanuel Carrère's 2011 book Limonov, a novelized biography of the Russian dissident writer and politician Eduard Limonov, who founded the National Bolshevik Party.

📝️**Synopsis**:
A revolutionary militant, a thug, an underground writer, a butler to a millionaire in Manhattan. But also a switchblade waving poet, a lover of beautiful women, a warmonger, a political agitator and a novelist who wrote of his own greatness. Eduard Limonov's life story is a journey through Russia, America and Europe during the second half of the 20th century.

😀**Genre**: #Biopic
🗣**Language**: English
🌍**Country**: France, Italy, Spain
🗓**Release Date**: 21 February 2025
⏳**Running time**: 138 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Limonov:_The_Ballad)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:34"
12,"🎬```Still Life with Ghosts```

🎞**Movie Info**
**Still Life with Ghosts** (Spanish: Bodegón con fantasmas) is a 2024 Spanish-Serbian ensemble comedy film written and directed by Enrique Buleo.

📝️**Synopsis**:
Structured in five episodes, the plot follows the mishaps of townsfolk and ghosts in a village of La Mancha.

😀**Genre**: #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain, Serbia
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Still_Life_with_Ghosts)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:35"
13,"🎬```Rich Flu```

🎞**Movie Info**
**Rich Flu** (Spanish: La fiebre de los ricos) is a 2024 Spanish film written, directed, and produced by Galder Gaztelu-Urrutia. It stars Mary Elizabeth Winstead, Rafe Spall, Lorraine Bracco, Jonah Hauer-King, and Timothy Spall. It premiered at the 57th Sitges Film Festival on October 6, 2024.

📝️**Synopsis**:
A disease targets the richest people on Earth, starting with billionaires, then millionaires, and so on, causing people to give away their assets to avoid death.

😀**Genre**: # 
🗣**Language**: English
🌍**Country**: Spain
🗓**Release Date**: January 24, 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Rich_Flu)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:35"
